,Unnamed: 0,id,trial_date,trial_hour,day_of_week,trial_country,subscription_date,sub_hour_start,sub_label,trial_dateTime,sub_dateTime,subLag,country_count,us,uk,can,aus,mon,tueSun,wedSat,thr,fri
50822,50822,519c87fde4b084baf13dc8d5,2013-05-22 00:00:00,4,Wednesday,Turkey,,,0,2013-05-22 04:00:00,,,218,0,0,0,0,0,0,1,0,0
28883,28883,519167b8e4b0a49a6ee883e2,2013-05-13 00:00:00,18,Monday,United States,,,0,2013-05-13 18:00:00,,,45149,1,0,0,0,1,0,0,0,0
20918,20918,518c2629e4b07c856130fe27,2013-05-09 00:00:00,18,Thursday,Canada,,,0,2013-05-09 18:00:00,,,4868,0,0,1,0,0,0,0,1,0
69369,69369,51a6aadfe4b0b9bb8be34c07,2013-05-29 00:00:00,21,Wednesday,United States,,,0,2013-05-29 21:00:00,,,45149,1,0,0,0,0,0,1,0,0
73624,73624,51a8d562e4b0a554a772ba68,2013-05-31 00:00:00,12,Friday,United States,2013-06-14 00:00:00,19.0,1,2013-05-31 12:00:00,2013-06-14 19:00:00,14 days 07:00:00.000000000,45149,1,0,0,0,0,0,0,0,1
33270,33270,5193ba15e4b0ff3406120be3,2013-05-15 00:00:00,12,Wednesday,United Kingdom,,,0,2013-05-15 12:00:00,,,5408,0,1,0,0,0,0,1,0,0
28584,28584,51914b55e4b093091ed432bd,2013-05-13 00:00:00,16,Monday,Canada,,,0,2013-05-13 16:00:00,,,4868,0,0,1,0,1,0,0,0,0
34789,34789,519451b2e4b0c77eaa1769bc,2013-05-15 00:00:00,23,Wednesday,United States,,,0,2013-05-15 23:00:00,,,45149,1,0,0,0,0,0,1,0,0
17663,17663,518a960ee4b03415294b4f9c,2013-05-08 00:00:00,14,Wednesday,United States,,,0,2013-05-08 14:00:00,,,45149,1,0,0,0,0,0,1,0,0
1326,1326,51815b02e4b0841085aca7fb,2013-05-01 00:00:00,14,Wednesday,United States,,,0,2013-05-01 14:00:00,,,45149,1,0,0,0,0,0,1,0,0
12972,12972,51883dede4b091a1ff8761e4,2013-05-06 00:00:00,19,Monday,United States,2013-06-05 00:00:00,4.0,1,2013-05-06 19:00:00,2013-06-05 04:00:00,29 days 09:00:00.000000000,45149,1,0,0,0,1,0,0,0,0
37187,37187,5195a888e4b0cc86d60c3889,2013-05-16 00:00:00,23,Thursday,United States,,,0,2013-05-16 23:00:00,,,45149,1,0,0,0,0,0,0,1,0
67970,67970,51a63d2ae4b05b671abd69cd,2013-05-29 00:00:00,13,Wednesday,United States,,,0,2013-05-29 13:00:00,,,45149,1,0,0,0,0,0,1,0,0
63801,63801,51a4336de4b0f0ad735a0bde,2013-05-28 00:00:00,0,Tuesday,Bangladesh,,,0,2013-05-28 00:00:00,,,51,0,0,0,0,0,1,0,0,0
59266,59266,51a14b0fe4b0673a4c03abaa,2013-05-25 00:00:00,19,Saturday,Chile,,,0,2013-05-25 19:00:00,,,110,0,0,0,0,0,0,1,0,0
44389,44389,519a5e3ae4b0a54138bdf491,2013-05-20 00:00:00,13,Monday,Canada,,,0,2013-05-20 13:00:00,,,4868,0,0,1,0,1,0,0,0,0
25632,25632,518f8411e4b0eb1ecff2ddf6,2013-05-12 00:00:00,7,Sunday,Russian Federation,,,0,2013-05-12 07:00:00,,,436,0,0,0,0,0,1,0,0,0
66715,66715,51a59c54e4b062a74b5b5404,2013-05-29 00:00:00,2,Wednesday,United States,,,0,2013-05-29 02:00:00,,,45149,1,0,0,0,0,0,1,0,0
47941,47941,519a57b4e4b07c77537b7d14,2013-05-20 00:00:00,13,Monday,null,,,0,2013-05-20 13:00:00,,,996,0,0,0,0,1,0,0,0,0
70149,70149,51a72843e4b07eba009a383e,2013-05-30 00:00:00,6,Thursday,United Kingdom,2013-06-19 00:00:00,13.0,1,2013-05-30 06:00:00,2013-06-19 13:00:00,20 days 07:00:00.000000000,5408,0,1,0,0,0,0,0,1,0
38665,38665,51969566e4b00f93085527c6,2013-05-17 00:00:00,16,Friday,United States,2013-05-17 00:00:00,16.0,1,2013-05-17 16:00:00,2013-05-17 16:00:00,0 days 00:00:00.000000000,45149,1,0,0,0,0,0,0,0,1
66078,66078,51a54fcbe4b0b3ec204a4a7d,2013-05-28 00:00:00,20,Tuesday,Australia,2013-05-30 00:00:00,2.0,1,2013-05-28 20:00:00,2013-05-30 02:00:00,1 days 06:00:00.000000000,3414,0,0,0,1,0,1,0,0,0
67022,67022,51a5e251e4b0e2549bc35062,2013-05-29 00:00:00,7,Wednesday,Netherlands,,,0,2013-05-29 07:00:00,,,567,0,0,0,0,0,0,1,0,0
48198,48198,519a5e15e4b066b0c4a37425,2013-05-20 00:00:00,13,Monday,null,,,0,2013-05-20 13:00:00,,,996,0,0,0,0,1,0,0,0,0
